06937,Смолян,Мадан,с. Букова поляна
06940,Велико Търново,Велико Търново,с. Буковец
06954,Видин,Видин,с. Буковец
06968,Враца,Бяла Слатина,с. Буковец
06971,Монтана,Брусарци,с. Буковец
06985,София,Своге,с. Буковец
06999,Плевен,Плевен,с. Буковлък
07003,Благоевград,Гоце Делчев,с. Буково
07017,Смолян,Мадан,с. Буково
07020,София,Годеч,с. Букоровци
07034,Варна,Долни чифлик,с. Булаир
07048,Кюстендил,Кюстендил,с. Буново
07051,София,Мирково,с. Буново
07065,Кюстендил,Кочериново,с. Бураново
07079,Бургас,Бургас,гр. Бургас
07082,Габрово,Севлиево,с. Буря
07096,Перник,Трън,с. Бусинци
07106,София (столица),Столична,с. Бусманци
07116,Враца,Козлодуй,с. Бутан
07123,Велико Търново,Павликени,с. Бутово
07137,Перник,Трън,с. Бутроинци
07140,София (столица),Столична,гр. Бухово
07154,Търговище,Търговище,с. Буховци
07168,Благоевград,Благоевград,с. Бучино
07171,София,Костинброд,с. Бучин проход
07185,Габрово,Дряново,с. Бучуковци
07199,Стара Загора,Стара Загора,с. Бъдеще
07209,Монтана,Вълчедръм,с. Бъзовец
07212,Русе,Две могили,с. Бъзовец
07226,Кюстендил,Трекляно,с. Бъзовица
07231,Русе,Русе,с. Бъзън
07243,Търговище,Омуртаг,с. Българаново
07257,Добрич,Каварна,с. Българево
07260,Ловеч,Ловеч,с. Българене
07274,Плевен,Левски,с. Българене
07288,Стара Загора,Раднево,с. Българене
07291,Бургас,Царево,с. Българи
07315,Хасково,Харманли,с. Българин
07329,Силистра,Силистра,с. Българка
07332,Бургас,Бургас,гр. Българово
07346,Хасково,Тополовград,с. Българска поляна
07357,Ловеч,Тетевен,с. Български извор
07363,Велико Търново,Свищов,с. Българско Сливово
07377,Благоевград,Благоевград,с. Българчево
07380,Стара Загора,Мъглиж,с. Бънзарето
07394,Варна,Долни чифлик,с. Бърдарево
07404,Габрово,Трявна,с. Бърдарите
07418,Враца,Бяла Слатина,с. Бърдарски геран
07421,Габрово,Трявна,с. Бърдени
07435,София,Ихтиман,с. Бърдо
07452,Разград,Исперих,с. Бърдоква
07472,Кърджали,Черноочене,с. Бърза река
07497,Враца,Хайредин,с. Бързина
07507,Варна,Провадия,с. Бързица
07510,Монтана,Берковица,с. Бързия
07524,Плевен,Долни Дъбник,с. Бъркач
07538,Враца,Бяла Слатина,с. Бъркачево
07541,София,Сливница,с. Бърложница
07555,София,Годеч,с. Бърля
07569,Смолян,Рудозем,с. Бърчево
07572,Пазарджик,Панагюрище,с. Бъта
07586,Пазарджик,Брацигово,с. Бяга
07598,Варна,Бяла,гр. Бяла
07603,Русе,Бяла,гр. Бяла
07613,Сливен,Сливен,с. Бяла
07627,Бургас,Малко Търново,с. Бяла вода
07630,Плевен,Белене,с. Бяла вода
07644,Сливен,Твърдица,с. Бяла паланка
07658,Кърджали,Кърджали,с. Бяла поляна
07661,Велико Търново,Сухиндол,с. Бяла река
07675,Пловдив,Първомай,с. Бяла река
07689,Смолян,Рудозем,с. Бяла река
07692,Шумен,Върбица,с. Бяла река
07702,Враца,Бяла Слатина,гр. Бяла Слатина
07716,Велико Търново,Павликени,гр. Бяла черква
07729,Шумен,Смядово,с. Бял бряг
07733,Хасково,Ивайловград,с. Бялградец
07747,Кърджали,Ардино,с. Бял извор
07750,Стара Загора,Опан,с. Бял извор
07764,Кърджали,Кърджали,с. Бялка
07778,Сливен,Нова Загора,с. Бял кладенец
07781,Хасково,Стамболово,с. Бял кладенец
07795,Габрово,Габрово,с. Бялково
07805,Велико Търново,Елена,с. Бялковци
07819,Стара Загора,Опан,с. Бяло поле
07822,Благоевград,Якоруда,с. Бунцево
07836,Пазарджик,Велинград,с. Биркова
07853,Пазарджик,Велинград,с. Бозьова
07867,Пазарджик,Велинград,с. Бутрева
07870,Пловдив,Асеновград,с. Бор
07884,Ловеч,Тетевен,с. Бабинци
07908,Габрово,Габрово,с. Бойчета
07911,Смолян,Неделино,с. Бурево
07925,Кърджали,Ардино,с. Богатино
07939,Кърджали,Джебел,с. Брежана
07942,Кърджали,Кирково,с. Брегово
07960,София,Ихтиман,с. Белица
10015,Разград,Исперих,с. Вазово
10029,София,Ихтиман,с. Вакарел
10032,Добрич,Шабла,с. Ваклино
10046,Благоевград,Сатовча,с. Ваклиново
10050,Кюстендил,Невестино,с. Ваксево
10063,Велико Търново,Елена,с. Валето
10080,Плевен,Левски,с. Варана
10094,Бургас,Царево,с. Варвара
10104,Пазарджик,Септември,с. Варвара
10118,Велико Търново,Свищов,с. Вардим
10121,Търговище,Търговище,с. Вардун
10135,Варна,Варна,гр. Варна
10149,Силистра,Тутракан,с. Варненци
10152,Хасково,Свиленград,с. Варник
10166,Бургас,Средец,с. Варовник
10176,Шумен,Шумен,с. Васил Друмев
